Date,Open,High,Low,Close,Adj Close,Volume
2007-07-30,48.810001,49.410000,47.500000,48.520000,35.009312,49376100
2007-08-06,48.270000,51.880001,48.259998,49.410000,35.651459,49290800
2007-08-13,49.689999,49.990002,46.639999,47.570000,34.323833,48142300
2007-08-20,47.730000,50.459999,47.660000,50.119999,36.163773,29624000
2007-08-27,50.000000,50.560001,48.169998,49.250000,35.536026,25272400
2007-09-03,49.130001,50.000000,48.810001,49.240002,35.528824,21627100
2007-09-10,49.490002,55.509998,49.490002,55.450001,40.009602,69618400
2007-09-17,55.299999,55.730000,54.139999,54.799999,39.540600,53186800
2007-09-24,54.880001,55.400002,53.889999,54.470001,39.302490,39994900
2007-10-01,54.750000,56.560001,54.669998,56.369999,40.673424,32853300
2007-10-08,56.110001,57.529999,55.950001,57.020000,41.142433,37753900
2007-10-15,57.290001,57.349998,55.930000,56.419998,40.709503,37136600
2007-10-22,56.029999,58.560001,55.610001,58.470001,42.188671,42927200
2007-10-29,58.419998,59.849998,58.419998,59.020000,42.585518,33097000
2007-11-05,59.000000,59.919998,58.099998,58.310001,42.073208,51747400
2007-11-12,59.250000,59.250000,56.240002,58.130001,41.943336,62947700
2007-11-19,57.880001,58.950001,57.299999,57.720001,42.742718,33946900
2007-11-26,57.840000,59.599998,56.750000,58.470001,43.298111,47375000
2007-12-03,58.450001,60.770000,58.099998,60.160000,44.549583,41816000
2007-12-10,61.000000,63.689999,60.700001,61.160000,45.290104,46491200
2007-12-17,61.000000,61.000000,58.230000,60.029999,44.453327,37183100
2007-12-24,60.160000,60.500000,59.160000,59.500000,44.060848,15901400
2007-12-31,59.720001,59.939999,56.430000,57.049999,42.246586,28406500
2008-01-07,57.360001,58.639999,53.320000,54.320000,40.224964,76447900
2008-01-14,54.889999,55.310001,51.919998,52.400002,38.803158,60918500
2008-01-21,49.369999,54.750000,49.369999,54.099998,40.062050,59127000
2008-01-28,51.099998,54.369999,49.360001,54.220001,40.150921,113998900
2008-02-04,54.230000,56.410000,52.880001,55.639999,41.202431,55309900
2008-02-11,55.730000,57.070000,54.840000,55.299999,40.950668,35733700
2008-02-18,55.820000,56.400002,54.389999,55.689999,41.239468,27588600
2008-02-25,55.610001,57.000000,53.939999,54.110001,40.069447,42828900
2008-03-03,53.980000,54.740002,52.000000,52.270000,38.971016,37050500
2008-03-10,54.650002,55.180000,52.930000,54.779999,40.842400,56586800
2008-03-17,53.369999,55.490002,53.009998,54.419998,40.574005,42762700
2008-03-24,54.580002,56.509998,54.400002,55.480000,41.364315,33650300
2008-03-31,55.560001,57.240002,55.400002,55.720001,41.543247,42373300
2008-04-07,56.020000,56.240002,55.139999,55.400002,41.304672,31419800
2008-04-14,55.490002,58.470001,55.230000,58.299999,43.466824,30137000
2008-04-21,58.590000,59.980000,57.419998,59.669998,44.488251,41075100
2008-04-28,59.750000,61.240002,59.150002,60.950001,45.442581,38321200
2008-05-05,60.959999,60.990002,58.790001,59.240002,44.167652,29888200
2008-05-12,59.299999,61.759998,59.299999,60.529999,45.129448,33231400
2008-05-19,60.759998,60.869999,57.310001,57.730000,43.041855,32275600
2008-05-26,57.869999,59.840000,57.549999,59.320000,44.227303,21016400
2008-06-02,59.119999,59.189999,56.840000,56.950001,42.460300,36802500
2008-06-09,58.369999,60.410000,58.000000,59.950001,44.987984,38659900
2008-06-16,59.439999,60.330002,57.349998,57.400002,43.074398,32562100
2008-06-23,57.750000,58.389999,55.169998,56.500000,42.399025,49769300
2008-06-30,56.700001,58.430000,55.520000,57.189999,42.916809,40056200
2008-07-07,57.419998,59.500000,56.639999,57.320000,43.014362,46818800
2008-07-14,57.910000,61.000000,57.330002,60.439999,45.355690,43571500
2008-07-21,60.360001,61.209999,58.000000,58.650002,44.012432,49673700
2008-07-28,58.700001,60.980000,57.700001,59.770000,44.852913,39292800
2008-08-04,59.840000,66.239998,59.770000,65.669998,49.280426,69209000
2008-08-11,65.040001,67.000000,61.939999,63.630001,47.749550,54818700
2008-08-18,63.889999,64.230003,61.900002,63.419998,47.591961,27971600
2008-08-25,63.209999,63.209999,61.209999,62.000000,46.526356,28153600
2008-09-01,62.389999,64.290001,59.560001,60.299999,45.525635,36436800
2008-09-08,61.259998,64.870003,60.930000,64.059998,48.364372,56322600
2008-09-15,63.730000,65.470001,62.090000,63.980000,48.303982,67631100
2008-09-22,63.580002,64.760002,60.700001,63.200001,47.715096,49690400
2008-09-29,63.090000,64.019997,59.860001,60.230000,45.472778,59978200
2008-10-06,58.990002,59.840000,45.790001,53.349998,40.278488,102469200
2008-10-13,55.320000,59.840000,50.799999,53.799999,40.618233,73801800
2008-10-20,54.869999,57.919998,51.700001,53.060001,40.059536,64456700
2008-10-27,53.470001,59.939999,51.639999,57.930000,43.736309,65720300
2008-11-03,58.410000,58.930000,53.439999,55.470001,41.879051,46524800
2008-11-10,57.150002,58.299999,52.000000,56.130001,42.377350,57473600
2008-11-17,55.900002,57.939999,51.150002,55.150002,41.637455,76897800
2008-11-24,55.540001,58.980000,54.830002,58.750000,44.355400,41526400
2008-12-01,58.070000,62.860001,55.439999,62.720001,47.773163,69586700
2008-12-08,63.349998,63.990002,59.029999,60.590000,46.150780,63307500
2008-12-15,60.689999,63.590000,60.000000,60.320000,45.945107,59682000
2008-12-22,60.320000,62.180000,60.070000,61.060001,46.508759,21228600
2008-12-29,60.990002,64.129997,59.790001,63.750000,48.557705,26470100
2009-01-05,63.259998,64.459999,59.700001,60.070000,45.754684,42992000
2009-01-12,60.099998,61.230000,56.410000,59.669998,45.450016,57717800
2009-01-19,59.590000,59.799999,56.750000,58.020000,44.193218,43427200
2009-01-26,57.230000,59.700001,56.450001,58.020000,44.193218,54430400
2009-02-02,57.619999,59.770000,57.070000,58.459999,44.528362,46878200
2009-02-09,59.029999,59.430000,55.630001,56.810001,43.271580,55036500
2009-02-16,55.900002,57.110001,54.049999,54.570000,41.565399,42299200
